team,conference,URL
Auburn University,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png
Louisiana State University,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Mississippi State University,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png
Texas A&M University,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png
University of Alabama,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
University of Arkansas,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png
University of Florida,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
University of Georgia,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png
University of Kentucky,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
University of Mississippi,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png
University of Missouri,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png
University of Oklahoma,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png
University of South Carolina,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png
University of Tennessee,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png
University of Texas at Austin,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png
Vanderbilt University,SEC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png
"Indiana University, Bloomington",B10,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Michigan State University,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png
Northwestern University,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png&h=200&w=200
Ohio State University,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png
Pennsylvania State University,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png
Purdue University,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png
Rutgers University,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png
"University of California, Los Angeles",B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png
University of Illinois Urbana-Champaign,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png
University of Iowa,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png
University of Maryland,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png
University of Michigan,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5735.png
University of Minnesota,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&h=200&w=200
University of Nebraska-Lincoln,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png&h=200&w=200
University of Oregon,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png
University of Southern California,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png
University of Washington,B10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/264.png
University of Wisconsin-Madison,B10,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/275.png
Boston College,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png
Clemson University,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png
Duke University,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png
Florida State University,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Georgia Institute Of Technology,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png
North Carolina State University,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
Southern Methodist University,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png
Stanford University,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png
Syracuse University,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png
"University of California, Berkeley",ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png&h=200&w=200
University of Louisville,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png
University of Miami,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png
University of North Carolina,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
University of Pittsburgh,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
University of Virginia,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png
Virginia Tech,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png
Wake Forest University,ACC,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png
Arizona State University,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/9.png
Baylor University,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png
Brigham Young University,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5842.png
Iowa State University,B12,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png
Kansas State University,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png
Oklahoma State University,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png
Texas Christian University,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png
Texas Tech University,B12,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
University of Arizona,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/12.png
University of Central Florida,B12,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png
University of Cincinnati,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png
University of Colorado,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png
University of Houston,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png
University of Kansas,B12,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
University of Utah,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png
West Virginia University,B12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5658.png
"California State University, Fresno",Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/278.png
Coastal Carolina University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/324.png
Colgate University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2142.png&h=200&w=200
Colorado State University,Mid-major,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Coppin State University,Mid-major,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2154.png
Creighton University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png
Drake University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2181.png
Eastern Illinois University,Mid-major,https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png
Fairfield University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2217.png
Florida Gulf Coast University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/526.png
Grand Canyon University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18010.png
High Point University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2272.png
Jackson State University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2296.png
James Madison University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png
Long Island University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/112358.png
Loyola Marymount University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2351.png
Loyola University Chicago,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2350.png
Marquette University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png
Oregon State University,Mid-major,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png
Pepperdine University,Mid-major,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2492.png
Rice University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png
Saint John's University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png
Southeastern Louisiana University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2545.png
Stephen F. Austin State University,Mid-major,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2617.png
Texas State University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/326.png
"University of California, Santa Barbara",Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2540.png
University of Dayton,Mid-major,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png
University of Delaware,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/48.png
University of Hawaii,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/62.png
"University of Maryland, Baltimore County",Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2378.png
University of Northern Iowa,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2460.png
University of San Diego,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/301.png
University of South Alabama,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/6.png
University of Nebraska Omaha,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2437.png
University of Northern Colorado,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2458.png
Utah State University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png
Washington State University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/5819.png
Weber State University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2692.png
Western Kentucky University,Mid-major,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png
Western Michigan University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2711.png
Wofford College,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2747.png
Wright State University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2750.png
Yale University,Mid-major,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/43.png
